antecedents,consequents,support,confidence,lift,cosine,kulczynski,all_confidence,max_confidence,imbalance_ratio
furniture_decor,bed_bath_table,0.08974358974358974,0.3431372549019608,1.3184584178498986,0.3439813822658193,0.3439824205544286,0.3431372549019608,0.3448275862068965,0.002967359050445093
bed_bath_table,furniture_decor,0.08974358974358974,0.3448275862068965,1.3184584178498984,0.3439813822658193,0.3439824205544286,0.3431372549019608,0.3448275862068965,0.002967359050445093
toys,baby,0.02435897435897436,0.37254901960784315,3.12460468058191,0.27588433318372035,0.2884250474383302,0.2043010752688172,0.37254901960784315,0.33599999999999997
luggage_accessories,stationery,0.00641025641025641,0.3333333333333333,7.878787878787878,0.22473328748774735,0.2424242424242424,0.1515151515151515,0.3333333333333333,0.41860465116279066
books_general_interest,market_place,0.002564102564102564,0.4,26.0,0.2581988897471611,0.2833333333333333,0.16666666666666666,0.4,0.4666666666666668
perfumery,health_beauty,0.014102564102564103,0.4074074074074074,4.475743348982785,0.2512358602700949,0.2811684924360981,0.15492957746478875,0.4074074074074074,0.5057471264367815
fashion_bags_accessories,others,0.011538461538461539,0.4736842105263158,6.0569456427955135,0.26436307295072103,0.3106125970664366,0.14754098360655737,0.4736842105263158,0.591549295774648
pet_shop,others,0.007692307692307693,0.4,5.114754098360656,0.19835388147218588,0.24918032786885247,0.09836065573770493,0.4,0.6571428571428571
costruction_tools_garden,others,0.005128205128205128,0.3333333333333333,4.2622950819672125,0.14784425419091457,0.1994535519125683,0.06557377049180328,0.3333333333333333,0.7101449275362318
home_confort,bed_bath_table,0.05512820512820513,0.8600000000000001,3.304433497536946,0.42681083360750005,0.5359113300492612,0.21182266009852216,0.8600000000000001,0.7285714285714285
home_construction,furniture_decor,0.016666666666666666,0.5,1.9117647058823528,0.17850138682385416,0.2818627450980392,0.06372549019607843,0.5,0.8202764976958525
drinks,health_beauty,0.0038461538461538464,0.375,4.119718309859155,0.12587720374450337,0.20862676056338028,0.04225352112676057,0.375,0.8289473684210525
food,health_beauty,0.0038461538461538464,0.375,4.119718309859155,0.12587720374450337,0.20862676056338028,0.04225352112676057,0.375,0.8289473684210525
audio,watches_gifts,0.007692307692307693,1.0,19.5,0.3872983346207417,0.575,0.15000000000000002,1.0,0.85
construction_tools_lights,furniture_decor,0.014102564102564103,0.611111111111111,2.336601307189542,0.18152704954572363,0.33251633986928103,0.053921568627450976,0.611111111111111,0.8815165876777252
office_furniture,bed_bath_table,0.00641025641025641,0.3333333333333333,1.2807881773399012,0.09061004703659373,0.17898193760262726,0.02463054187192118,0.3333333333333333,0.8826291079812206
furniture_living_room,furniture_decor,0.008974358974358974,0.43749999999999994,1.6727941176470584,0.12252450735245084,0.235906862745098,0.034313725490196074,0.43749999999999994,0.8826291079812207
fashion_childrens_clothes,fashion_bags_accessories,0.002564102564102564,1.0,41.05263157894737,0.32444284226152503,0.5526315789473684,0.10526315789473684,1.0,0.894736842105263
kitchen_dining_laundry_garden_furniture,housewares,0.002564102564102564,0.3333333333333333,2.2413793103448274,0.07580980435789034,0.17528735632183906,0.017241379310344827,0.3333333333333333,0.9166666666666666
food_drink,sports_leisure,0.002564102564102564,0.5,5.416666666666666,0.1178511301977579,0.2638888888888889,0.027777777777777776,0.5,0.9189189189189191
